name,department,rmp_id,rmp_rating,rmp_difficulty,rmp_would_take_again,rmp_department,notes
Chloé Turcotte,,,,,,,Needs manual RMP lookup
Chockry Barbana,,,,,,,Needs manual RMP lookup
Chris Gravel,,,,,,,Needs manual RMP lookup
Chris Ramnanan,,,,,,,Needs manual RMP lookup
Christian Giguère,,,,,,,Needs manual RMP lookup
Christian Gudbranson,,,,,,,Needs manual RMP lookup
Christiane Bertrand,,,,,,,Needs manual RMP lookup
Christiane Riel,,,,,,,Needs manual RMP lookup
Christina Charles,,,,,,,Needs manual RMP lookup
Christina Clark-Kazak,,,,,,,Needs manual RMP lookup
Christine Guptill,,,,,,,Needs manual RMP lookup
Claire Tugault-Lafleur,,,,,,,Needs manual RMP lookup
Clara Laplante-Bédard,,,,,,,Needs manual RMP lookup
Claudia Rochon,,,,,,,Needs manual RMP lookup
Colin Cordner,,,,,,,Needs manual RMP lookup
Corneliu Varlan,,,,,,,Needs manual RMP lookup
Cristelle Audet,,,,,,,Needs manual RMP lookup
Céline Castets-Renard,,,,,,,Needs manual RMP lookup
Dallas Glenn Mack,,,,,,,Needs manual RMP lookup
Damiem Rolon Mérette,,,,,,,Needs manual RMP lookup
Damien D'Amours,,,,,,,Needs manual RMP lookup
Dana Hyde,,,,,,,Needs manual RMP lookup
Dannick Rivest,,,,,,,Needs manual RMP lookup
Daphnée Drouin,,,,,,,Needs manual RMP lookup
Daria Kolmogorova,,,,,,,Needs manual RMP lookup
David Boucher,,,,,,,Needs manual RMP lookup
David Fewer,,,,,,,Needs manual RMP lookup
David Girard,,,,,,,Needs manual RMP lookup
David Mcleod,,,,,,,Needs manual RMP lookup
David Murakami Wood,,,,,,,Needs manual RMP lookup
Deepanshu Mohan,,,,,,,Needs manual RMP lookup
Defao Tchoffo,,,,,,,Needs manual RMP lookup
Denis Myre,,,,,,,Needs manual RMP lookup
Derya Sahingil,,,,,,,Needs manual RMP lookup
Desneiges Mitchell,,,,,,,Needs manual RMP lookup
Diane Lagace,,,,,,,Needs manual RMP lookup
Diem Ngoc Thi Dao Nguyen,,,,,,,Needs manual RMP lookup
Dieudonné Stéphane Akaba Minkada,,,,,,,Needs manual RMP lookup
Dima Zaid-Kilani,,,,,,,Needs manual RMP lookup
Dinuk Wijeratne,,,,,,,Needs manual RMP lookup
Dixi Modi,,,,,,,Needs manual RMP lookup
Dominique Cécile Suzanne Mamet,,,,,,,Needs manual RMP lookup
Dominique Côté,,,,,,,Needs manual RMP lookup
Dominique Morisano,,,,,,,Needs manual RMP lookup
Domynik Huot,,,,,,,Needs manual RMP lookup
Doreen Anne Taylor-Claxton,,,,,,,Needs manual RMP lookup
Douglas Sarro,,,,,,,Needs manual RMP lookup
Edmundo Marcelo Arroyo Espinoza,,,,,,,Needs manual RMP lookup
Ehsan Mirzaee,,,,,,,Needs manual RMP lookup
El Hadji Yaya Koné,,,,,,,Needs manual RMP lookup
Eliane Cloutier,,,,,,,Needs manual RMP lookup
Eliane Dulude,,,,,,,Needs manual RMP lookup
Ellen Freeman,,,,,,,Needs manual RMP lookup
Emil Aliyev,,,,,,,Needs manual RMP lookup
Emile James Khordoc,,,,,,,Needs manual RMP lookup
Emilio Alarcon,,,,,,,Needs manual RMP lookup
Emily Kotow,,,,,,,Needs manual RMP lookup
Emily Laidlaw,,,,,,,Needs manual RMP lookup
Emily Lampron,,,,,,,Needs manual RMP lookup
Emily Pearlman,,,,,,,Needs manual RMP lookup
Emily Wills,,,,,,,Needs manual RMP lookup
Emma Costain,,,,,,,Needs manual RMP lookup
Emma Gabe,,,,,,,Needs manual RMP lookup
Emmanuel Carrière,,,,,,,Needs manual RMP lookup
Emmanuel Duplàa,,,,,,,Needs manual RMP lookup
Eric Granger,,,,,,,Needs manual RMP lookup
Erin Bethell,,,,,,,Needs manual RMP lookup
Erin M Kean,,,,,,,Needs manual RMP lookup
Erin Mccuaig-Lambrinakos,,,,,,,Needs manual RMP lookup
Eugénie Tessier,,,,,,,Needs manual RMP lookup
Eva Ottawa,,,,,,,Needs manual RMP lookup
Fabrice Blée,,,,,,,Needs manual RMP lookup
Farzaneh Salehi Kahrizsangi,,,,,,,Needs manual RMP lookup
Federica De Sisto,,,,,,,Needs manual RMP lookup
Felipe Dargent-Bocanegra,,,,,,,Needs manual RMP lookup
Fernanda Scussiato Lago,,,,,,,Needs manual RMP lookup
Florence Robert,,,,,,,Needs manual RMP lookup
Francesca Caiazzo,,,,,,,Needs manual RMP lookup
Francis Bergevin-Thériault,,,,,,,Needs manual RMP lookup
Francis Desjardins,,,,,,,Needs manual RMP lookup
Francois Baril,,,,,,,Needs manual RMP lookup
Francois Joubert,,,,,,,Needs manual RMP lookup
Francois-Xavier Campbell-Valois,,,,,,,Needs manual RMP lookup
Frankie Young,,,,,,,Needs manual RMP lookup
François Jean Larocque,,,,,,,Needs manual RMP lookup
François Le Moine,,,,,,,Needs manual RMP lookup
François Robitaille,,,,,,,Needs manual RMP lookup
François Thibeault,,,,,,,Needs manual RMP lookup
Frédéric Lacroix,,,,,,,Needs manual RMP lookup
Gabriel Bergeron,,,,,,,Needs manual RMP lookup
Gabriel Cadieux,,,,,,,Needs manual RMP lookup
Gabriel Christophe Poliquin,,,,,,,Needs manual RMP lookup
Gabriel Marrocco,,,,,,,Needs manual RMP lookup
Gabriela Romero,,,,,,,Needs manual RMP lookup
Gabrielle Dorr,,,,,,,Needs manual RMP lookup
Gabrielle Marie Beaulieu,,,,,,,Needs manual RMP lookup
Garrick Apollon,,,,,,,Needs manual RMP lookup
Gaston Lillo,,,,,,,Needs manual RMP lookup
Geneviève Abdelfatah-Desautels,,,,,,,Needs manual RMP lookup
Geneviève Barbara Bazinet,,,,,,,Needs manual RMP lookup
Geneviève Bossé,,,,,,,Needs manual RMP lookup
Geneviève Boucher,,,,,,,Needs manual RMP lookup
Geneviève Chabot,,,,,,,Needs manual RMP lookup
Geneviève Dufour,,,,,,,Needs manual RMP lookup
Geneviève Gauthier,,,,,,,Needs manual RMP lookup
Geneviève Grenier,,,,,,,Needs manual RMP lookup
Geneviève Ouellet Therrien,,,,,,,Needs manual RMP lookup
